date,gdp_growth,korea_lead,brent_price,exchange_rate,gold_price,gas_price,usa_lead,china_lead,export,export_restored
2010-01-01,2.759952746157231,2.185557216594138,-0.07922707906066566,0.3683758464388589,0.022989068153793646,0.6267201183040044,0.7592806342485616,0.9711214070530829,-1.760756902627734,5159709.0
2010-02-01,2.759952746157231,2.037354384144632,-0.1773681728721996,0.36424381893292335,0.05627156387740939,0.5871039015295761,0.7891572002583516,0.9666449519786475,-2.0699214704420767,4786115.0
2010-03-01,2.759952746157231,1.8898727333615453,0.028647015790028457,0.2974812469421053,0.05215704021139089,0.4552943529127126,0.8090583334584096,0.9553868357791053,-0.9071874882333932,6191161.0
2010-04-01,2.872565574970174,1.746988615701904,0.27156650005907285,0.2429855190844208,0.1124131403817783,0.4630448365375571,0.8171197921450073,0.9390485992068314,-1.108249472338802,5948198.0
2010-05-01,2.872565574970174,1.6038340549173458,-0.08814899667989597,0.46013656308470274,0.14231859979499273,0.5241150316990352,0.8145657500376018,0.9198719835609772,-0.5017061838458091,6681144.0
2010-06-01,2.872565574970174,1.4479686672621062,-0.1364084601657328,0.5034426592437207,0.1685460495135347,0.5614594133373124,0.8059600322228491,0.901344186167286,-0.9570212144420901,6130942.0
2010-07-01,1.5775180436213205,1.2668619212821537,-0.10315403994860176,0.4158903911076983,0.11523962714997715,0.6010476111027253,0.7987163815246348,0.8869002139653972,-0.8063482369433593,6313015.0
2010-08-01,1.5775180436213205,1.0718724282235854,-0.04394495029370909,0.4503673170219109,0.1722277418661875,0.4471534306847055,0.7985407625132197,0.8787113920740417,-0.5492980999231628,6623634.0
2010-09-01,1.5775180436213205,0.8787760370393711,-0.01150161349650792,0.31836394580633254,0.2206217589455033,0.4557525061410094,0.8067304126095536,0.8772229520443879,-1.1881097171173252,5851695.0
2010-10-01,1.8590501156536798,0.7188540025105328,0.18437503241659475,0.2833101879006428,0.25821662280451907,0.4806736564009432,0.8216844510630068,0.8814795525338646,-0.4284728920136859,6769639.0
2010-11-01,1.8590501156536798,0.626903340041858,0.29022141871746393,0.36355452490618134,0.27991508461618864,0.5013485571074906,0.842017778835654,0.8891386115524362,-0.6807613548014169,6464774.0
2010-12-01,1.8590501156536798,0.6046368560911151,0.5404406537658789,0.3057130609589045,0.30618085225891356,0.5329749822636837,0.863483140660243,0.8980975821553265,-0.7055553279816219,6434813.0
2011-01-01,1.3522923859954332,0.6193309325444429,0.7460503007181417,0.27429608447735276,0.2402928064666643,0.5350363556180248,0.881578052480009,0.9069150885435455,-0.7358292814828883,6398230.0
2011-02-01,1.3522923859954332,0.6095949800477571,1.0380403318929534,0.2913496966058524,0.29769629397093667,0.4805260014639573,0.8923624912505801,0.9145111825249224,-1.2952027001026565,5722284.0
2011-03-01,1.3522923859954332,0.5299044059082356,1.480891879174751,0.21470695987684252,0.3196870309856106,0.5307698689417676,0.8918082395955764,0.9198770051167635,0.011621993903501205,7301449.0
2011-04-01,0.45138975549188276,0.3802592101258911,1.8304688331645949,0.15276147433940324,0.40094970604539615,0.5722413880374956,0.8795513018284424,0.9221060907156513,-0.46950157584604746,6720060.0
2011-05-01,0.45138975549188276,0.16778106165662354,1.4950858390235262,0.1718423554608286,0.3877125486272508,0.568052363279376,0.8569043377764984,0.9208109290691908,-0.37154134170143377,6838435.0
2011-06-01,0.45138975549188276,-0.09227704725477771,1.4480430006675846,0.14329439150448664,0.3643448210215272,0.5286966210809706,0.8264190757558154,0.9157325509196319,-0.6089663302296386,6551531.0
